id,visible_area,match_id,teammate,actor,keeper,location
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[36.70683262613876, 75.209517337385]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[44.35717290315171, 15.517957602206252]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[45.782525801500825, 53.34840286029143]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[49.92303770629168, 48.07521791683507]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[51.63898565169541, 45.7745144941714]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[51.85797395831155, 68.26623548292613]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[52.91067959109395, 23.464156383407186]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[53.29553119119528, 31.304543141629438]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[55.55728324422538, 61.18222424962184]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[58.608465366306156, 44.54119100025463]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[58.91975277476498, 60.07406324921703]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[60.113496932462624, 6.354792865768246]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[63.56330095660795, 20.866796010006723]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[66.3483447759515, 27.11133976955867]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[70.1032704811163, 47.29872366412396]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[72.35096545610652, 80.1162217343736]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[73.32596858869243, 45.735684440559346]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[73.86621316229454, 73.88338392326631]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[74.91376628816657, 54.2975270803378]"
15c4c6ba-c038-474a-9c61-d0190ce84829,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,True,False,"[30.5, 59.0]"
15c4c6ba-c038-474a-9c61-d0190ce84829,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[36.70683262613876, 75.209517337385]"
15c4c6ba-c038-474a-9c61-d0190ce84829,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,False,False,"[44.35717290315171, 15.517957602206252]"
15c4c6ba-c038-474a-9c61-d0190ce84829,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,False,False,False,"[45.782525801500825, 53.34840286029143]"
